date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-02-13 23:26:28,JHPodcast1,,0,0,0,"  New Podcast! ""Best Movie Out!: J&amp;H#02"" on @Spreaker #brady #food #football #movies #new #oscars #podcast #wendys",,@spreaker,#brady #food #football #movies #new #oscars #podcast #wendys,1228098140294778880,https://twitter.com/JHPodcast1/status/1228098140294778880
2020-02-13 22:50:08,ConsoleCreature,,0,0,1,"Update: comPOSERS Oscars Special Episode 
https://thatshelf.com/composers-special-episode-2020-academy-awards 

On the latest episode of @comPOSERSpod the gang discusses the #Oscars movies nominated for best score! #Podcast #ThatShelf",,@comPOSERSpod,#Oscars #Podcast #ThatShelf,1228088996519202816,https://twitter.com/ConsoleCreature/status/1228088996519202816
2020-02-13 22:10:53,conbdeclasica,,0,1,0,"No te pierdas @conbdeclasica Especial #Oscars2020 
#BSO #soundtrack #OST Domingo 20h   

@starwars #johnwilliams @1917 #ThomasNewman @MarriageStory @RandyNewman @LittleWomenFilm #alexandredesplat @jokermovie @hildurness 
 #musica #music #movies #podcasts",,@conbdeclasica @starwars @1917 @MarriageStory @RandyNewman @LittleWomenFilm @jokermovie @hildurness,#Oscars2020 #BSO #soundtrack #OST #johnwilliams #ThomasNewman #alexandredesplat #musica #music #movies #podcasts,1228079119453376512,https://twitter.com/conbdeclasica/status/1228079119453376512
2020-02-13 21:05:46,cmartin_photo,,1,3,15,"George MacKay from #1917 stole my seat at the Oscars so he could intro an award. Once he was done reading from the teleprompter I told him that he owed me a photo for the inconvenience. Really cool guy.   

#georgemackay #film #movies #oscars #oscars2020 ",,,#georgemackay #film #movies #oscars #oscars2020,1228062734681546763,https://twitter.com/cmartin_photo/status/1228062734681546763
2020-02-13 21:01:13,yankyspruty,,0,20,109,"Inspired by @MatthewACherry #OscarAwards #dream #Austria #oscars #movies ",,@MatthewACherry,#OscarAwards #dream #Austria #oscars #movies,1228061587690442753,https://twitter.com/yankyspruty/status/1228061587690442753
2020-02-13 20:54:47,jordi_sardi,,0,0,1,"""Put on a happy face""
#joker #Oscars2020 #coaching #blackandwhite #cinema #film #movie #movies #actor #cinematography #films #hollywood #actress #art #love #cine #photography #filmmaking #music #instagood #filmmaker… https://www.instagram.com/p/B8hW3wCIQ7r/?igshid=15d2qlnyg3zbs",,,#joker #Oscars2020 #coaching #blackandwhite #cinema #film #movie #movies #actor #cinematography #films #hollywood #actress #art #love #cine #photography #filmmaking #music #instagood #filmmaker,1228059969649598466,https://twitter.com/jordi_sardi/status/1228059969649598466
2020-02-13 20:47:36,MrBBizzy,,0,0,1,"Black ppl dominate #Music. NO RESPECT at #Grammys. Black ppl create great #movies and do great #Acting. NO RESPECT at #Oscars. BUT wen Black ppl demonstrate #LGBTQ  behavior is the only time THEY open up DOORS for u and PUT u on THEY huge platforms... I wonder why that is?",,,#Music #Grammys #movies #Acting #Oscars #LGBTQ,1228058160835039232,https://twitter.com/MrBBizzy/status/1228058160835039232
2020-02-13 20:38:23,BamTubeTV,,0,0,4,"In case you missed it last night, here are my Top 10 Picks for the BEST Movies of 2019! #Top10 #Oscars https://youtu.be/9Qf6bwpXTl4",,,#Top10 #Oscars,1228055841070342149,https://twitter.com/BamTubeTV/status/1228055841070342149
2020-02-13 20:23:25,tustuleca,,0,0,0,"#Parasite is our film

""We still can’t believe the Academy, a notoriously hidebound institution, awarded four Oscars to Parasite, an explicitly anticapitalist movie. But we’ll take it.""

#oscars #capitalism #movies #BongJoonHo",,,#Parasite #oscars #capitalism #movies #BongJoonHo,1228052075562577920,https://twitter.com/tustuleca/status/1228052075562577920
2020-02-13 20:17:14,NextBestPicture,,82,18,176,"WEEKLY POLL: “Who Is Your Favorite Best Supporting Actress Oscar Winner Of The Decade?”

VOTE HERE: https://www.nextbestpicture.com/the-polls.html

#Oscars #AcademyAwards #Movies #Film #Cinema #NBPpolls #FilmTwitter",,,#Oscars #AcademyAwards #Movies #Film #Cinema #NBPpolls #FilmTwitter,1228050520998367232,https://twitter.com/NextBestPicture/status/1228050520998367232
